English;Français;Date;Nb;Score;Taux;Good image;Taux2
a crust;une croûte (de pâte);17/05/2018;6;6;1;1,05;-0,05
timid;craintif;17/05/2018;6;6;1;1,05;-0,05
a chatterbox;un moulin à paroles / une personne intarissable;17/05/2018;6;2;0,333333333;1,05;-0,72
Work that out!;Débrouille-toi !;17/05/2018;6;-6;-1;1,05;-2,05
a tip;un conseil, un tuyau / un pourboire;17/05/2018;7;7;1;1,0375;-0,04
to chat;causer, bavarder;17/05/2018;7;7;1;1,0375;-0,04
fiery;ardent, enflammé;17/05/2018;7;7;1;1,0375;-0,04
glassware;la verrerie;17/05/2018;7;7;1;1,0375;-0,04
a beater (hunting);un rabatteur (chasse);17/05/2018;7;1;0,142857143;1,0375;-0,89
wrapper (common name);du papier d'emballage;17/05/2018;7;1;0,142857143;1,0375;-0,89
The last frontier;La frontière de l'espace (métaphorique);17/05/2018;8;8;1;1,025;-0,02
a gallup poll;un sondage d'opinion;17/05/2018;8;6;0,75;1,025;-0,28
Queen Elizabeth;La Reine d'Angleterre Elizabeth II;17/05/2018;9;9;1;1,0125;-0,01
overtime (common name);les heures supplémentaires;17/05/2018;9;7;0,777777778;1,0125;-0,23
We stopped over in Los Angeles on our way to Hawaii.;Nous avons fait escale à Los Angeles dans notre voyage pour Hawaii.;17/05/2018;9;7;0,777777778;1,0125;-0,23
to see the writing on the wall;prévoir quelque chose de menaçant, la fin de quelque chose (expr.);17/05/2018;9;5;0,555555556;1,0125;-0,46
The MP for Birmingham North polled 20% of the votes.;Le député de Birmingham Nord a recueilli 20% des voix.;17/05/2018;10;8;0,8;1;-0,2
His negative attitude put me off completely.;Son attitude négative m'a complètement refroidi.;17/05/2018;10;8;0,8;1;-0,2
classical;célèbre / référence / qui relève soit de l'antiquité, soit du XVIIIème siècle;17/05/2018;10;8;0,8;1;-0,2
Would you mind paying for your drink? I'll get this, Mike.;Voulez-vous bien régler vos consommations ? C'est moi qui t'invite, Mike.;17/05/2018;10;8;0,8;1;-0,2
What was it like?;Comment est-ce que c'était ?;17/05/2018;10;2;0,2;1;-0,8
I've almost finished packing. There are just a few odds and ends to finish.;J'ai presque fini de faire les valises. Il reste juste deux-trois bricoles à finir.;17/05/2018;11;9;0,818181818;0,9875;-0,17
The USSR / The Soviet Union;L'URSS (deux traductions);17/05/2018;11;7;0,636363636;0,9875;-0,35
The new law and order act makes further inroads on individual freedom.;La nouvelle législation sur l'ordre public empiète encore plus sur les libertés individuelles.;17/05/2018;11;6;0,545454545;0,9875;-0,44
Why don't you call in on your way back?;Pourquoi ne ferais-tu pas un saut [chez moi] en revenant ?;17/05/2018;11;5;0,454545455;0,9875;-0,53
a penny;une pièce d'un cent;17/05/2018;11;5;0,454545455;0,9875;-0,53
We can put you up in David's room.;Nous pouvons t'héberger dans la chambre de David.;17/05/2018;12;11;0,916666667;0,975;-0,06
to stay half-board in a hotel;prendre une demi-pension dans un hôtel;17/05/2018;12;10;0,833333333;0,975;-0,14
interest repayment on a bank loan;le remboursement des intérêts sur un prêt bancaire;17/05/2018;12;6;0,5;0,975;-0,48
I worked my way up from the bottom.;Je suis parti du bas de l'échelle.;17/05/2018;12;0;0;0,975;-0,98
to soak up the sun;prendre un bain de soleil;17/05/2018;12;-2;-0,166666667;0,975;-1,14
Do you have anything on this evening?;As-tu quelque chose de prévu ce soir ?;17/05/2018;13;9;0,692307692;0,9625;-0,27
And now for item seven on the agenda…;Et maintenant, le septième point de l'ordre du jour ...;17/05/2018;14;12;0,857142857;0,95;-0,09
He was convicted of embezzlement.;Il a été condamné pour détournement de fonds.;17/05/2018;14;12;0,857142857;0,95;-0,09
One person in three in Birmingham ends up before the courts.;Une personne sur trois à Birmingham se retrouve devant la justice.;17/05/2018;14;12;0,857142857;0,95;-0,09
She has the information at her fingertips.;Elle connaît son sujet sur le bout des doigts.;17/05/2018;14;12;0,857142857;0,95;-0,09
The United States is on home ground.;Les Etats-Unis sont chez eux.;17/05/2018;14;11;0,785714286;0,95;-0,16
You can't rule out this possibility.;Tu ne peux pas exclure cette possibilité.;17/05/2018;14;10;0,714285714;0,95;-0,24
I'm snowed under with work.;Je suis débordé de travail.;17/05/2018;14;10;0,714285714;0,95;-0,24
tiptoe (common name);la pointe des pieds;17/05/2018;14;10;0,714285714;0,95;-0,24
an auction sale;une vente aux enchères;17/05/2018;14;10;0,714285714;0,95;-0,24
off-key, out of tune;faux (musique);17/05/2018;14;8;0,571428571;0,95;-0,38
I can't put up with his selfishness any longer.;Je ne peux tolérer son égoïsme plus longtemps.;17/05/2018;14;8;0,571428571;0,95;-0,38
Don't hit me, he whimpered.;Ne me frappez pas, dit-il d'une voix pleurnicharde.;17/05/2018;14;4;0,285714286;0,95;-0,66
to let the cat out of the bag;vendre la mèche;17/05/2018;15;13;0,866666667;0,9375;-0,07
You won't get much sleep.;Tu ne dormiras pas beaucoup.;17/05/2018;15;13;0,866666667;0,9375;-0,07
It slipped my mind.;Ca m'est sorti de la tête.;17/05/2018;15;13;0,866666667;0,9375;-0,07
Henson was interested in the deal, but he pulled out at the last minute.;Henson était intéressé par l'affaire, mais il s'est retiré à la dernière minute.;17/05/2018;15;12;0,8;0,9375;-0,14
Could you go over your explanation again, please?;Pourriez-vous répéter votre explication, s'il vous plaît ?;17/05/2018;15;11;0,733333333;0,9375;-0,2
Matters have come to a head.;Les choses en sont venues à un point critique.;17/05/2018;15;3;0,2;0,9375;-0,74
What time is the news on?;A quelle heure passent les informations ?;17/05/2018;16;14;0,875;0,925;-0,05
washing up liquid (UK) / dish-soap (USA);le liquide vaisselle;17/05/2018;16;14;0,875;0,925;-0,05
I've had many an appreciative audience, but never anything like this.;J'ai eu de nombreux publics enthousiastes, mais jamais encore comme celui-ci.;17/05/2018;16;13;0,8125;0,925;-0,11
a socialite;une personne mondaine;17/05/2018;16;8;0,5;0,925;-0,43
a waffle;une gauffre / un baratin;17/05/2018;16;6;0,375;0,925;-0,55
Governments expenditures have been brought down.;Les dépenses gouvernementales ont été réduites.;17/05/2018;17;15;0,882352941;0,9125;-0,03
"""You take the Tube but you ride the Subway""";Métros londonien et new-yorkais;17/05/2018;17;13;0,764705882;0,9125;-0,15
Last night, I dreamed of the house we used to spend our holiday in.;La nuit dernière, j'ai rêvé de la maison dans laquelle nous passions nos vacances, dans le temps.;17/05/2018;17;10;0,588235294;0,9125;-0,32
Don't decide now. Think it over for a few days.;Ne décide pas maintenant. Réfléchis-y pendant quelques jours.;17/05/2018;17;7;0,411764706;0,9125;-0,5
The manager has been sick with the flu' for a week.;Le directeur souffre d'une grippe depuis une semaine.;17/05/2018;17;7;0,411764706;0,9125;-0,5
There's a lot to be done.;Il y a beaucoup à faire.;17/05/2018;17;-5;-0,294117647;0,9125;-1,21
to wash up (UK);faire la vaisselle;17/05/2018;17;-5;-0,294117647;0,9125;-1,21
Did you know that Simon got married last month? No, who to?;Savais-tu que Simon s'était marié le mois dernier ? Non, avec qui ?;17/05/2018;18;15;0,833333333;0,9;-0,07
Don't shout at your employees.;Ne criez pas sur vos employés.;17/05/2018;19;15;0,789473684;0,8875;-0,1
The mayor and corporation (UK);Le maire et ses conseillers;17/05/2018;19;9;0,473684211;0,8875;-0,41
Share prices are beginning to pick up rapidly.;Les prix des actions commencent à remonter rapidement.;17/05/2018;19;7;0,368421053;0,8875;-0,52
I hate living out a suitcase.;Je déteste avoir peu d'affaires;17/05/2018;20;16;0,8;0,875;-0,08
The Chancellor of the Exchequer;Le Ministre anglais des Finances;17/05/2018;20;14;0,7;0,875;-0,18
When the rugby team arrived, the situation really got out of hand.;Lorsque l'équipe de rugby est arrivée, la situation est devenue incontrôlable.;17/05/2018;22;15;0,681818182;0,85;-0,17
Could you put the meeting off until ten o'clock?;Pourriez-vous remettre le rendez-vous à 10 heures ?;17/05/2018;23;15;0,652173913;0,8375;-0,19
The batsman threw the ball at the wicket.;Le batteur lança la balle au guichet (cricket).;17/05/2018;30;17;0,566666667;0,75;-0,18
relished;ravi;27/05/2018;1;1;1;1,1125;-0,11
a scammer;un escroc;27/05/2018;1;1;1;1,1125;-0,11
to stumble;trébucher / broncher / tomber sur;27/05/2018;1;-1;-1;1,1125;-2,11
dog-eared;écorné;27/05/2018;3;3;1;1,0875;-0,09
intermingled;entremêlé;27/05/2018;5;5;1;1,0625;-0,06
pertaining;se rapportant (p…);27/05/2018;6;4;0,666666667;1,05;-0,38
a flea market;un marché aux puces;27/05/2018;8;8;1;1,025;-0,02
whims (common name);les caprices;27/05/2018;8;0;0;1,025;-1,03
high-end;haut de gamme (h…);27/05/2018;10;-6;-0,6;1;-1,6
a funnel;un entonnoir;27/05/2018;12;8;0,666666667;0,975;-0,31
figuratively;métaphoriquement;27/05/2018;13;9;0,692307692;0,9625;-0,27
a rake;un râteau;09/07/2018;2;2;1;1,1;-0,1
finals;les examens de fin d'année;09/07/2018;9;7;0,777777778;1,0125;-0,23
subsequently;par la suite;09/07/2018;9;7;0,777777778;1,0125;-0,23
When you work in HR management, you'll be raking in it.;Quand tu travailleras dans le management des RH, tu gagneras plein d'argent.;10/07/2018;15;13;0,866666667;0,9375;-0,07
a youngling;un jeune garçon (y…);14/07/2018;11;7;0,636363636;0,9875;-0,35
a lookout;un poste d'observation, de vigie;15/07/2018;3;3;1;1,0875;-0,09
a trial period;une période d'essai;15/07/2018;3;1;0,333333333;1,0875;-0,75
quite a few of;pas mal de ;15/07/2018;4;2;0,5;1,075;-0,58
It's been very nice speaking to you.;Ca m'a fait plaisir de discuter avec vous.;15/07/2018;11;1;0,090909091;0,9875;-0,9
to dwarf;rapetisser, faire paraître petit;17/07/2018;2;0;0;1,1;-1,1
to uphold;maintenir, défendre (u…);17/07/2018;2;-2;-1;1,1;-2,1
to reciprocate;rendre (r…);17/07/2018;4;-4;-1;1,075;-2,08
ill-mannered;mal élevé;17/07/2018;7;7;1;1,0375;-0,04
to walk-out / a walk-out;se promener / une grève / un retrait;17/07/2018;10;0;0;1;-1
thaw (common name);le dégel;17/07/2018;11;9;0,818181818;0,9875;-0,17
tongue-in-cheek;ironique;30/07/2018;6;4;0,666666667;1,05;-0,38
frantic / frenzied;frénétique;30/07/2018;21;7;0,333333333;0,8625;-0,53
a subsidiary;une filiale;05/08/2018;3;3;1;1,0875;-0,09
on the lookout for opportunities;en quête d'opportunités;05/08/2018;13;11;0,846153846;0,9625;-0,12
The junior managers won't begin until next Wednesday.;Les cadres juniors ne commenceront que mercredi prochain.;07/08/2018;6;6;1;1,05;-0,05
It's David Robinson's turn.;C'est au tour de David Robinson.;07/08/2018;9;9;1;1,0125;-0,01
In six months, the training will be coming to an end.;Dans six mois, la période de formation touchera à sa fin.;07/08/2018;13;7;0,538461538;0,9625;-0,42
I was hoping to be able to see you next week.;J'espérais pouvoir te voir la semaine prochaine.;07/08/2018;14;10;0,714285714;0,95;-0,24
Better to reserve a hotel room;Mieux vaut réserver une chambre d'hôtel;07/08/2018;15;7;0,466666667;0,9375;-0,47
It's not enough to hold a few of the company's shares to become a member of the board of directors.;Il ne suffit pas de détenir quelques actions de la société pour devenir membre du conseil d'administration.;07/08/2018;19;15;0,789473684;0,8875;-0,1
I'll be moving in.;Je serai en train d'emménager.;13/08/2018;1;1;1;1,1125;-0,11
generally speaking;en principe;13/08/2018;1;1;1;1,1125;-0,11
to all intents and purposes;pratiquement, en fait (expr.);13/08/2018;8;-8;-1;1,025;-2,03
It's a household name.;C'est un nom connu de tous.;13/08/2018;9;9;1;1,0125;-0,01
wholly-owned subsidiary;filiale dont la totalité du capital a été rachetée par la société mère;13/08/2018;10;4;0,4;1;-0,6
What would happen if Freddie Birtwhistle were to disappear?;Que se passerait-il si Freddie Birtwhistle venait à disparaître ?;13/08/2018;12;10;0,833333333;0,975;-0,14
He still drops in quite often to say hello to everyone.;Il passe assez souvent pour dire bonjour à tout le monde.;13/08/2018;12;6;0,5;0,975;-0,48
There was not much left for her to tell him.;Elle n'avait plus rien à lui dire.;13/08/2018;13;9;0,692307692;0,9625;-0,27
I'll introduce you to her later on.;Je vais vous la présenter plus tard.;13/08/2018;15;13;0,866666667;0,9375;-0,07
How are you enjoying it?;Ca te plaît ?;17/08/2018;6;4;0,666666667;1,05;-0,38
to be taken aback;être surpris, déconcerté, décontenancé;17/08/2018;6;2;0,333333333;1,05;-0,72
hands-on experience;l'expérience sur le tas;17/08/2018;15;13;0,866666667;0,9375;-0,07
Provided they don't close the factory down before then.;A condition qu'ils ne ferment pas l'usine avant.;17/08/2018;16;8;0,5;0,925;-0,43
Her work at the factory has put her off chocolate.;Son travail à l'usine l'a dégoûtée du chocolat.;17/08/2018;17;12;0,705882353;0,9125;-0,21
Go ahead!;Allez-y !;17/08/2018;18;16;0,888888889;0,9;-0,01
It does getting a little time getting used to.;C'est vrai qu'il faut un peu de temps pour s'y habituer.;17/08/2018;18;11;0,611111111;0,9;-0,29
to disrupt;perturber;19/08/2018;3;3;1;1,0875;-0,09
Labour is not a big element in the cost price.;Le coût de la main d'œuvre n'est pas un élément important dans le coût de revient.;19/08/2018;13;7;0,538461538;0,9625;-0,42
a helmsman;un timonier, un homme de barre;29/08/2018;0;0;0;1,125;-1,13
an exculpation;une disculpation;29/08/2018;0;0;0;1,125;-1,13
creed (common name);des principes, un credo;29/08/2018;1;-1;-1;1,1125;-2,11
a soulmate;une âme sœur;29/08/2018;1;-1;-1;1,1125;-2,11
a fledgling;un débutant / un oisillon (f…);29/08/2018;2;2;1;1,1;-0,1
a gaol;une prison, une geôle;29/08/2018;3;3;1;1,0875;-0,09
an alienation;un éloignement, un isolement, un détachement;29/08/2018;3;3;1;1,0875;-0,09
lengthy;long, interminable;29/08/2018;3;1;0,333333333;1,0875;-0,75
artful, astute;astucieux;29/08/2018;3;-1;-0,333333333;1,0875;-1,42
appalled;consterné, épouvanté, scandalisé (a…);29/08/2018;4;4;1;1,075;-0,08
loose;en vrac / relâché;29/08/2018;4;2;0,5;1,075;-0,58
picketing (common name);des piquets de grève;29/08/2018;4;2;0,5;1,075;-0,58
a loophole;une lacune, un point faible / une échappatoire;29/08/2018;4;-2;-0,5;1,075;-1,58
to suffuse;se répander sur, colorer, pigmenter;29/08/2018;5;3;0,6;1,0625;-0,46
bankable;fiable, sûr de rapporter du succès dans les affaires;29/08/2018;5;3;0,6;1,0625;-0,46
rubicond;rouge (particulièrement du visage d'une personne);29/08/2018;5;3;0,6;1,0625;-0,46
by and large;dans l'ensemble / en tout cas, de toute façon (b…);29/08/2018;5;3;0,6;1,0625;-0,46
to defuse;désamorcer;29/08/2018;6;6;1;1,05;-0,05
to squirm;se tortiller;29/08/2018;7;3;0,428571429;1,0375;-0,61
hustings (common name);une campagne électorale;29/08/2018;8;8;1;1,025;-0,02
lagging (adv. / adj.);en retard / isolant;29/08/2018;8;6;0,75;1,025;-0,28
to reap;moissonner, faucher;29/08/2018;8;4;0,5;1,025;-0,53
galore (adv.);en abondance (g…);29/08/2018;8;0;0;1,025;-1,03
nostrum (common name);la panacée (n…);29/08/2018;8;-4;-0,5;1,025;-1,53
arm twisting;une clé de bras / le forceps (figuré);29/08/2018;9;9;1;1,0125;-0,01
to stitch up;recoudre / mettre quelqu'un en porte-à-faux;29/08/2018;13;11;0,846153846;0,9625;-0,12
a quip;une blague, un sarcasme, une raillerie (q…);29/08/2018;14;8;0,571428571;0,95;-0,38
way beyond;bien au-delà;29/08/2018;14;6;0,428571429;0,95;-0,52
on the whole;dans l'ensemble (o…);29/08/2018;14;4;0,285714286;0,95;-0,66
a retort;une réplique, une riposte;12/09/2018;4;4;1;1,075;-0,08
petty;petit, insignifiant, simple;12/09/2018;4;4;1;1,075;-0,08
to err;se tromper / pécher;12/09/2018;7;7;1;1,0375;-0,04
to purport;se prétendre, se faire passer pour;18/09/2018;1;-1;-1;1,1125;-2,11
a subsidy;une subvention;25/09/2018;5;-1;-0,2;1,0625;-1,26
open-ended;qui n'a pas de limite clairement déterminée;25/09/2018;7;-1;-0,142857143;1,0375;-1,18
at stake;en jeu / en danger;25/09/2018;14;12;0,857142857;0,95;-0,09
the bedrock;la base, le soubassement, la fondation (b…);27/09/2018;2;-2;-1;1,1;-2,1
a muster;un rassemblement, une réunion (m…);27/09/2018;3;-1;-0,333333333;1,0875;-1,42
to rattle;ébranler, déstabiliser / agiter / crépiter (r…);27/09/2018;7;-1;-0,142857143;1,0375;-1,18
to disgruntle;contrarier, décevoir (d…);03/10/2018;6;-6;-1;1,05;-2,05
tinned;en conserve;04/10/2018;2;2;1;1,1;-0,1
shaky;précaire, instable (s…);04/10/2018;4;-2;-0,5;1,075;-1,58
enticing;séduisant, alléchant, attrayant (e…);04/10/2018;11;9;0,818181818;0,9875;-0,17
canvassing (common name);le démarchage, la sollicitation;04/10/2018;16;10;0,625;0,925;-0,3
a bulwark;un rempart, des fortifications;05/10/2018;2;2;1;1,1;-0,1
claret (common name);du (vin de) bordeaux;09/10/2018;0;0;0;1,125;-1,13
ruffled;ébouriffé, froissé / troublé;17/10/2018;1;-1;-1;1,1125;-2,11
stranded;échoué / coincé;17/10/2018;6;4;0,666666667;1,05;-0,38
to epitomise;incarner, résumer (e…);17/10/2018;9;-1;-0,111111111;1,0125;-1,12
shackles (common name);les chaînes, les entraves, les fers;17/10/2018;12;10;0,833333333;0,975;-0,14
gilt (adj.);doré;24/10/2018;1;1;1;1,1125;-0,11
a reshuffle;un remaniement;24/10/2018;1;1;1;1,1125;-0,11
protean (adj.);protéiforme, changeant, inconstant;24/10/2018;1;-1;-1;1,1125;-2,11
the throng;la foule (t…);24/10/2018;2;-2;-1;1,1;-2,1
avuncular;relatif à un oncle;24/10/2018;4;4;1;1,075;-0,08
admittedly;de l'aveu de tous;24/10/2018;5;-5;-1;1,0625;-2,06
a hothouse;une serre / un foyer de décadence;24/10/2018;6;2;0,333333333;1,05;-0,72
the jaw;la mâchoire;25/10/2018;11;7;0,636363636;0,9875;-0,35
outright (adv.);carrément, complètement, franchement (o…);27/10/2018;2;-2;-1;1,1;-2,1
beforehand;au préalable, auparavant (b…);27/10/2018;5;3;0,6;1,0625;-0,46
forensic;relatif au barreau;27/10/2018;5;;0;1,0625;-1,06
high-flown;ampoulé, (faussement) de haute volée;27/10/2018;6;-4;-0,666666667;1,05;-1,72
dull;terne, mat, ennuyeux;28/10/2018;1;1;1;1,1125;-0,11
stilted;guindé;28/10/2018;3;3;1;1,0875;-0,09
to tack;clouer / se faufiler, essayer une autre tactique;28/10/2018;5;5;1;1,0625;-0,06
chilly;froid (figuré) / frais;28/10/2018;6;2;0,333333333;1,05;-0,72
clad (adj.);(bien) habillé;28/10/2018;8;6;0,75;1,025;-0,28
to lull;bercer, apaiser, calmer;28/10/2018;16;14;0,875;0,925;-0,05
ebb and flow;le flux et reflux;30/10/2018;4;4;1;1,075;-0,08
to condone;fermer les yeux sur / pardonner;31/10/2018;4;4;1;1,075;-0,08
foolproof;infaillible (f…);31/10/2018;14;4;0,285714286;0,95;-0,66
a warp;une distorsion / une chaîne;01/11/2018;0;0;0;1,125;-1,13
feral;sauvage (f…);01/11/2018;3;1;0,333333333;1,0875;-0,75
the wreath;la couronne, la guirlande;01/11/2018;8;4;0,5;1,025;-0,53
misnomer (adj.);mal nommé;02/11/2018;2;0;0;1,1;-1,1
a spitoon;un crachoir;02/11/2018;4;4;1;1,075;-0,08
an upheaval;un bouleversement, un soulèvement, une agitation (u…);02/11/2018;5;-1;-0,2;1,0625;-1,26
ousted;évincé, chassé, expulsé (o…);02/11/2018;5;-3;-0,6;1,0625;-1,66
sly (adj.);sournois, rusé (s…);02/11/2018;5;-5;-1;1,0625;-2,06
beaten tracks;les sentiers battus;02/11/2018;6;6;1;1,05;-0,05
chopsticks (common name);des baguettes (chinoises);02/11/2018;8;8;1;1,025;-0,02
a slug;une limace;02/11/2018;10;2;0,2;1;-0,8
a closed shop;un milieu professionnel où l'adhésion à un syndicat est la condition pour être employé;04/11/2018;0;0;0;1,125;-1,13
corny;banal;04/11/2018;0;0;0;1,125;-1,13
rollpicking (adj.);joyeux, bruyant;04/11/2018;1;-1;-1;1,1125;-2,11
frail (adj.);frêle, fragile;04/11/2018;5;3;0,6;1,0625;-0,46
pungent;mordant, acerbe (p…);04/11/2018;6;4;0,666666667;1,05;-0,38
torpid;engourdi;04/11/2018;11;-3;-0,272727273;0,9875;-1,26
canny;prudent, malin (c..);11/11/2018;1;-1;-1;1,1125;-2,11
a gale;un coup de vent (g…);11/11/2018;4;-2;-0,5;1,075;-1,58
to shatter;briser, fracasser, éclater;13/11/2018;1;-1;-1;1,1125;-2,11
a clip;une agrafe, une attache (c…);14/11/2018;5;-3;-0,6;1,0625;-1,66
foes (common name);les ennemis;17/11/2018;1;1;1;1,1125;-0,11
ilk;ceux-là mêmes;17/11/2018;4;4;1;1,075;-0,08
devious;sournois / détourné;18/11/2018;0;0;0;1,125;-1,13
asunder;en morceaux, écartés / éloignés;18/11/2018;1;1;1;1,1125;-0,11
a trail;un sentier, une piste;18/11/2018;1;-1;-1;1,1125;-2,11
a den;une tanière;18/11/2018;1;-1;-1;1,1125;-2,11
to heed;tenir compte de, prendre garde à (h…);18/11/2018;1;-1;-1;1,1125;-2,11
a mayhem;du grabuge / une destruction (m…);18/11/2018;3;1;0,333333333;1,0875;-0,75
to backstab;poignarder dans le dos;18/11/2018;4;4;1;1,075;-0,08
a shredder;une déchiqueteuse;18/11/2018;4;2;0,5;1,075;-0,58
a wayward;un rebelle;18/11/2018;8;8;1;1,025;-0,02
a reaper;une moissonneuse;18/11/2018;8;6;0,75;1,025;-0,28
unwieldy (adj.);lourd (u…);18/11/2018;12;10;0,833333333;0,975;-0,14
a saddle;une selle / un col;19/11/2018;0;0;0;1,125;-1,13
the elbow room;l'espace vital;19/11/2018;7;7;1;1,0375;-0,04
to atone;expier;19/11/2018;7;7;1;1,0375;-0,04
grasper (adj.);compréhensif;20/11/2018;1;1;1;1,1125;-0,11
a disarray;un désarroi / un désordre;20/11/2018;12;8;0,666666667;0,975;-0,31
a prowess;une prouesse;21/11/2018;3;3;1;1,0875;-0,09
a landslide;un glissement de terrain, un éboulement;21/11/2018;3;3;1;1,0875;-0,09
a crucible;un creuset / une épreuve;21/11/2018;3;1;0,333333333;1,0875;-0,75
a pawn;un pion / un gage;21/11/2018;4;4;1;1,075;-0,08
to pespire;transpirer;21/11/2018;4;4;1;1,075;-0,08
a locust / a grasshopper;un criquet, une sauterelle, une caroube;21/11/2018;6;0;0;1,05;-1,05
a fisticuffs;un accrochage, une bagarre (f…);21/11/2018;10;8;0,8;1;-0,2
a heap;un tas, un amas, un monceau (h…);23/11/2018;1;-1;-1;1,1125;-2,11
the nub;l'essentiel, le noyau / le bout;24/11/2018;4;4;1;1,075;-0,08
to gloat;jubiler, exulter;24/11/2018;4;2;0,5;1,075;-0,58
to bode;présager, augurer;24/11/2018;6;2;0,333333333;1,05;-0,72
heralding (adj.);annonciateur (h…);24/11/2018;7;5;0,714285714;1,0375;-0,32
a chasm;un gouffre;24/11/2018;19;13;0,684210526;0,8875;-0,2
a slumbering;une sieste, un somme;25/11/2018;3;3;1;1,0875;-0,09
barren;stérile, aride / ingrat;26/11/2018;2;0;0;1,1;-1,1
to vaunt;se vanter;26/11/2018;3;1;0,333333333;1,0875;-0,75
a mish mash;un méli-mélo;04/12/2018;2;2;1;1,1;-0,1
to thwart;contrecarrer, contrarier;04/12/2018;3;1;0,333333333;1,0875;-0,75
a knave;un fripon, un coquin;04/12/2018;5;5;1;1,0625;-0,06
the dread;la crainte (d…);04/12/2018;5;1;0,2;1,0625;-0,86
a straitjacket;une camisole de force;04/12/2018;5;-3;-0,6;1,0625;-1,66
the insight;la perspicacité;04/12/2018;7;-1;-0,142857143;1,0375;-1,18
a buck;un dollar / un mâle, un mec, quelqu'un d'élégant;04/12/2018;9;9;1;1,0125;-0,01
to forswear;renoncer / parjurer;04/12/2018;9;-5;-0,555555556;1,0125;-1,57
half baked;(fig.) mal dégrossi;04/12/2018;10;6;0,6;1;-0,4
a ploy;un stratagème (p…);04/12/2018;11;9;0,818181818;0,9875;-0,17
profligacy;la débauche, le libertinage;10/12/2018;0;0;0;1,125;-1,13
an overkill;une exagération, une surestimation;10/12/2018;0;0;0;1,125;-1,13
cumbersome;lourd, encombrant;10/12/2018;0;0;0;1,125;-1,13
doubly;doublement;10/12/2018;1;1;1;1,1125;-0,11
to squeeze;écraser;10/12/2018;2;2;1;1,1;-0,1
a stench / a reek;une puanteur, une odeur nauséabonde, un relent;10/12/2018;2;0;0;1,1;-1,1
a rim;une jante;10/12/2018;3;1;0,333333333;1,0875;-0,75
to bequeath;transmettre, léguer (b…);10/12/2018;4;0;0;1,075;-1,08
a brink;un bord;10/12/2018;6;6;1;1,05;-0,05
duly;dûment, comme prévu, comme il faut;10/12/2018;6;6;1;1,05;-0,05
blight (common name);la rouille / la corruption / la brûlure;10/12/2018;6;2;0,333333333;1,05;-0,72
a keep;un donjon / une pension;10/12/2018;7;7;1;1,0375;-0,04
the sow;la truie;10/12/2018;7;7;1;1,0375;-0,04
a scent;un parfum, une odeur;10/12/2018;9;9;1;1,0125;-0,01
a nook;un coin;10/12/2018;11;7;0,636363636;0,9875;-0,35
in our own day;de nos jours;10/12/2018;12;0;0;0,975;-0,98
to buttress;soutenir, épauler (b…);10/12/2018;13;7;0,538461538;0,9625;-0,42
Putting out fires is not improvement of the process. Deming;La réduction des incendies n'est pas l'amélioration du processus. Deming;15/12/2018;13;12;0,923076923;0,9625;-0,04
slovenly;négligemment;17/12/2018;0;0;0;1,125;-1,13
a dud;une pièce NOK / une nippe;17/12/2018;4;4;1;1,075;-0,08
a shrapnel;un éclat d'obus;17/12/2018;4;2;0,5;1,075;-0,58
diehard (adj.);conservateur / pur et dur;17/12/2018;5;5;1;1,0625;-0,06
to sow;semer;17/12/2018;6;6;1;1,05;-0,05
mild / meek;doux (m…);17/12/2018;6;6;1;1,05;-0,05
well-heeled;bien nantis;17/12/2018;6;2;0,333333333;1,05;-0,72
the markups;les balisages / la marge (m…);17/12/2018;6;-2;-0,333333333;1,05;-1,38
a dimwit;une personne limitée mentalement / une personne ignorante;17/12/2018;6;-4;-0,666666667;1,05;-1,72
shoddy;de mauvaise qualité;17/12/2018;7;7;1;1,0375;-0,04
a chum;un ami (c…);17/12/2018;11;9;0,818181818;0,9875;-0,17
the lore (plur.);les traditions;07/01/2019;0;0;0;1,125;-1,13
a shoal;un banc (de poisson, de sable);07/01/2019;1;1;1;1,1125;-0,11
to clamp down;réprimer;07/01/2019;1;-1;-1;1,1125;-2,11
an eon;un temps, une période (e…);07/01/2019;2;-2;-1;1,1;-2,1
a pan;une poêle;07/01/2019;3;3;1;1,0875;-0,09
studded;clouté;07/01/2019;3;-3;-1;1,0875;-2,09
the kinship;la parenté;07/01/2019;4;2;0,5;1,075;-0,58
a nexus;un lien (n…);07/01/2019;4;0;0;1,075;-1,08
embroidered;brodé;07/01/2019;5;3;0,6;1,0625;-0,46
brash (adj.);impétueux (b…);07/01/2019;6;4;0,666666667;1,05;-0,38
chequered;à carreau;07/01/2019;7;7;1;1,0375;-0,04
a rope;une corde;07/01/2019;9;9;1;1,0125;-0,01
looting (common name);le pillage (l…);07/01/2019;10;8;0,8;1;-0,2
frying (common name);la friture;07/01/2019;11;9;0,818181818;0,9875;-0,17
lush;luxuriant;13/01/2019;3;3;1;1,0875;-0,09
bromine;le brome;28/01/2019;5;5;1;1,0625;-0,06
astatine;l'astate;28/01/2019;9;9;1;1,0125;-0,01
degreasing (common name);le dégraissage;28/01/2019;9;9;1;1,0125;-0,01
to marshal;rassembler / canaliser;05/02/2019;2;2;1;1,1;-0,1
plain-text;du texte brut (p…);09/03/2019;11;5;0,454545455;0,9875;-0,53
