english;français;Date;Nb;Score;Taux;image
a dish;un plat. une assiette / une antenne parabolique;2013-12-13;15;13;0.87;93.75
a contest;un concours;2013-12-13;25;12;0.48;81.25
liability;la responsabilité (jurid.);2013-12-13;25;18;0.72;81.25
to take up;se mettre à (un sport. );2013-12-13;22;-12;-0.55;85.0
to surge;monter soudainement;2013-12-13;36;18;0.5;67.5
to look to;faire attention à;2013-12-13;16;5;0.31;92.5
a clerical work;un travail de bureau;2013-12-13;22;16;0.73;85.0
to bring down;faire baisser;2013-12-13;22;2;0.09;85.0
an editor;un rédacteur;2013-12-13;18;6;0.33;90.0
a shelf;un rayon (dune étagère. );2013-12-13;23;17;0.74;83.75
to assess;évaluer;2013-12-13;18;6;0.33;90.0
power (common name);le pouvoir / l'énergie. l'électricité;2013-12-13;23;17;0.74;83.75
a warranty;une garantie;2013-12-13;23;17;0.74;83.75
a stance;une attitude. une position;2013-12-13;21;7;0.33;86.25
a pool;une piscine / un billard américain;2013-12-13;23;17;0.74;83.75
to draw up;établir. rédiger;2013-12-13;20;15;0.75;87.5
a retrieval;une récupération. un recouvrement;2013-12-13;21;2;0.1;86.25
to find out;se renseigner. trouver. découvrir;2013-12-13;28;21;0.75;77.5
a taxpayer;un contribuable;2013-12-13;21;12;0.57;86.25
an endeavour;un effort;2013-12-13;31;23;0.74;73.75
an industrial park;une zone industrielle;2013-12-13;21;12;0.57;86.25
peak time;l'heure de pointe;2013-12-13;16;12;0.75;92.5
a remainder;un reste;2013-12-13;16;12;0.75;92.5
a trunk (USA);un coffre de voiture;2013-12-13;11;5;0.45;98.75
to disclose;divulguer. dévoiler;2013-12-13;24;18;0.75;82.5
a redeployment;une reconversion;2013-12-13;24;18;0.75;82.5
a beverage;une boisson. un breuvage;2013-12-13;20;15;0.75;87.5
a convict;un condamné (dr.);2013-12-13;28;21;0.75;77.5
a pension;une pension de retraite;2013-12-13;16;12;0.75;92.5
thorough;complet. détaillé;2013-12-13;16;12;0.75;92.5
staggering;incroyable. saisissant;2013-12-13;22;16;0.73;85.0
to call for;demander. exiger / nécessiter;2013-12-13;21;12;0.57;86.25
a branch (firm);une succursale. une agence;2013-12-13;19;14;0.74;88.75
to fund;financer;2013-12-13;22;16;0.73;85.0
a mortgage;une hypothèque;2013-12-13;22;16;0.73;85.0
the acumen;la perspicacité. la finesse. le sens;2013-12-13;22;16;0.73;85.0
to carry out;accomplir. exercer. remplir;2013-12-13;13;1;0.08;96.25
personable;qui présente bien;2013-12-13;24;9;0.38;82.5
to curb;freiner;2013-12-13;18;8;0.44;90.0
to perform;accomplir. exécuter. remplir (obligation. contrat);2013-12-13;13;5;0.38;96.25
a wording;les termes. la formulation. le libellé;2013-12-13;28;16;0.57;77.5
a wholesaler;un grossiste;2013-12-13;28;16;0.57;77.5
a service (mechanics);une révision (mécanique. );2013-12-13;21;12;0.57;86.25
to issue;publier. faire paraître. émettre;2013-12-13;19;14;0.74;88.75
to be wary of;se méfier de. être prudent vis-à-vis de;2013-12-13;28;13;0.46;77.5
gross;brut (écon.);2013-12-13;26;19;0.73;80.0
professionnal people;les personnes de profession libérale;2013-12-13;26;19;0.73;80.0
critical;crucial;2013-12-13;26;19;0.73;80.0
pervasive;envahissant;2013-12-13;28;21;0.75;77.5
to keep down;restreindre. limiter. maintenir bas;2013-12-13;18;8;0.44;90.0
the inflow;l'afflux;2013-12-13;15;11;0.73;93.75
knowledg(e)able;bien informé. compétent;2013-12-13;30;22;0.73;75.0
a blueprint;un plan. un projet. un schéma directeur;2013-12-13;21;12;0.57;86.25
to heighten;augmenter;2013-12-13;14;8;0.57;95.0
regulatory;réglementaire;2013-12-13;19;14;0.74;88.75
to spill;se renverser. se répandre;2013-12-13;26;19;0.73;80.0
bookkeeping (common name);la comptabilité;2013-12-13;18;9;0.5;90.0
word of mouth;le bouche à oreille;2013-12-13;21;13;0.62;86.25
a quarter;un trimestre / une pièce de vingt-cinq cents;2013-12-13;29;17;0.59;76.25
a hearing;une audience (au tribunal. );2013-12-13;22;13;0.59;85.0
to gamble;jouer de largent / prendre des risques;2013-12-13;24;12;0.5;82.5
a labourer;un manuvre;2013-12-13;22;13;0.59;85.0
overdue;arriéré. en retard;2013-12-13;20;10;0.5;87.5
to bypass;éviter;2013-12-13;16;8;0.5;92.5
a middle man;un intermédiaire;2013-12-13;21;16;0.76;86.25
a checkbook;un chéquier;2013-12-13;13;9;0.69;96.25
a pink slip;une lettre de licenciement;2013-12-13;26;18;0.69;80.0
a route;un itinéraire;2013-12-13;26;18;0.69;80.0
to donate;faire don de;2013-12-13;21;16;0.76;86.25
a shipyard;un chantier naval;2013-12-13;16;11;0.69;92.5
to get by;se débrouiller. sen sortir;2013-12-13;17;1;0.06;91.25
cattle (common name);le bétail. les bovins;2013-12-13;16;6;0.38;92.5
a fair;une foire dexposition. un salon;2013-12-13;21;16;0.76;86.25
red tape (expr.);la bureaucratie. la paperasserie;2013-12-13;23;16;0.7;83.75
to put through;conclure. mener à bien / mettre en communication;2013-12-13;23;16;0.7;83.75
the coverage;la couverture (sociale ou médiatique);2013-12-13;23;16;0.7;83.75
to check out;régler sa note / jeter un il à;2013-12-13;15;4;0.27;93.75
headphones;un casque. des écouteurs;2013-12-13;14;7;0.5;95.0
a meter reader;un releveur de compteur;2013-12-13;16;9;0.56;92.5
the deposit;les arrhes;2013-12-13;21;16;0.76;86.25
an auction;une vente aux enchères;2013-12-13;21;16;0.76;86.25
a hold;une prise. une étreinte;2013-12-13;15;4;0.27;93.75
a demerger;un éclatement. une scission;2013-12-13;19;8;0.42;88.75
a hype;une publicité tapageuse. un matraquage;2013-12-13;20;-8;-0.4;87.5
upcoming;imminent. prochain;2013-12-13;16;11;0.69;92.5
a tag;une étiquette;2013-12-13;16;9;0.56;92.5
retraining (common name);le recyclage;2013-12-13;24;6;0.25;82.5
a commodity;une denrée de base. une matière première / une marchandise;2013-12-13;19;-7;-0.37;88.75
a misdemeanour;une infraction. un délit mineur;2013-12-13;22;13;0.59;85.0
a lobby;un vestibule / un groupe représentants d'intérêts;2013-12-13;24;10;0.42;82.5
to work out;élaborer;2013-12-13;24;1;0.04;82.5
a collection;une perception. un ramassage. une collecte;2013-12-13;19;13;0.68;88.75
to call sbdy in;passer voir quelqu'un / faire entrer quelqu'un;2013-12-13;27;7;0.26;78.75
a stalemate;un marasme (écon.) / une impasse;2013-12-13;22;13;0.59;85.0
controls (common name);les boutons de commande;2013-12-13;17;13;0.76;91.25
to respond;réagir;2013-12-13;26;13;0.5;80.0
complimentary;à titre gracieux;2013-12-13;19;13;0.68;88.75
outsourcing;l'externalisation;2013-12-13;19;13;0.68;88.75
a buyout;un rachat;2013-12-13;19;13;0.68;88.75
a shop steward;un délégué syndical;2013-12-13;19;13;0.68;88.75
to put on;organiser;2013-12-13;26;-10;-0.38;80.0
a split;une coupure. une cassure;2013-12-13;19;5;0.26;88.75
a teller;un caissier;2013-12-13;18;-7;-0.39;90.0
a creditor;un créancier;2013-12-13;19;13;0.68;88.75
money supply (common name);la masse monétaire;2013-12-13;19;13;0.68;88.75
a revival;une remise en vigueur;2013-12-13;22;13;0.59;85.0
an order form;un bon de commande;2013-12-13;24;10;0.42;82.5
to attend;assister à. aller à;2013-12-13;19;13;0.68;88.75
an assembly line;une chaîne de montage;2013-12-13;20;14;0.7;87.5
to leave off;sarrêter. cesser / oublier / exclure;2013-12-13;23;-10;-0.43;83.75
a mileage;un kilométrage;2013-12-13;20;14;0.7;87.5
a claim;une revendication / une réclamation;2013-12-13;23;13;0.57;83.75
supply & demand;loffre & la demande;2013-12-13;20;14;0.7;87.5
to go ahead with;aller de lavant avec. mettre à exécution;2013-12-13;22;11;0.5;85.0
a desktop;un ordinateur de bureau;2013-12-13;27;19;0.7;78.75
to alter;modifier;2013-12-13;23;13;0.57;83.75
stock taking (common name);un inventaire;2013-12-13;27;19;0.7;78.75
to allocate;allouer. attribuer;2013-12-13;27;19;0.7;78.75
a night shift;une équipe de nuit / un poste de nuit;2013-12-13;25;19;0.76;81.25
an expense;une dépense;2013-12-13;17;12;0.71;91.25
an outflow;une sortie / une évasion (fisc.);2013-12-13;17;12;0.71;91.25
health care;l'assurance maladie;2013-12-13;17;12;0.71;91.25
itemization (common name);l'énumération. le fait de lister;2013-12-13;17;12;0.71;91.25
a department store;un grand magasin;2013-12-13;24;17;0.71;82.5
a balance-sheet;un bilan;2013-12-13;27;19;0.7;78.75
to trade;échanger;2013-12-13;18;9;0.5;90.0
a turnout;une production / le nombre de personnes présentes;2013-12-13;22;6;0.27;85.0
a meter (techn.);un compteur (EDF. taxi. );2013-12-13;20;14;0.7;87.5
to feature;être doté de. être équipé de;2013-12-13;17;10;0.59;91.25
to accommodate;loger. recevoir;2013-12-13;19;8;0.42;88.75
to come by;obtenir. se procurer;2013-12-13;21;-10;-0.48;86.25
a contractor;un entrepreneur;2013-12-13;22;6;0.27;85.0
to trespass;transgresser. violer;2013-12-13;19;8;0.42;88.75
to charge;facturer / accuser;2013-12-13;23;13;0.57;83.75
an appreciation;une plus-value;2013-12-13;19;1;0.05;88.75
a security (fin.);une caution (fin.). une garantie;2013-12-13;24;9;0.38;82.5
a watchdog;un organisme régulateur;2013-12-13;29;17;0.59;76.25
to squander;gaspiller;2018-04-15;18;-9;-0.5;90.0
blasted;foudroyé. fichu;2018-04-15;19;8;0.42;88.75
to despise;mépriser;2018-04-15;19;13;0.68;88.75
pennyworth;pour un penny;2018-04-15;16;13;0.81;92.5
the Lent;le Carême;2018-04-15;19;14;0.74;88.75
to swell;se gonfler;2018-04-15;17;11;0.65;91.25
to ape;singer. imiter;2018-04-15;21;15;0.71;86.25
a dainty;une friandise;2018-04-15;24;15;0.63;82.5
ere (adv.);avant;2018-04-15;26;0;0.0;80.0
to rap;donner un coup sec. frapper;2018-04-15;20;13;0.65;87.5
sluggard;paresseux;2018-04-15;17;6;0.35;91.25
spinning (common name);un filage / une rotation;2018-04-15;23;9;0.39;83.75
a groat;une pièce de monnaie médiévale;2018-04-15;21;4;0.19;86.25
to glean;glaner / découvrir;2018-04-15;20;12;0.6;87.5
knitting;le tricot. le tricotage;2018-04-15;15;10;0.67;93.75
to straiten;rétrécir / coincer;2018-04-15;27;8;0.3;78.75
a beggar;un mendiant;2018-04-15;30;18;0.6;75.0
a grindstone;une meule;2018-04-15;15;2;0.13;93.75
toil (common name);un labeur. un dur travail;2018-04-15;19;-8;-0.42;88.75
a sorrow;un chagrin. une douleur;2018-04-15;21;14;0.67;86.25
a knuckle;une articulation;2018-04-15;19;4;0.21;88.75
awhile;quelque temps. un moment;2018-04-15;21;16;0.76;86.25
towed;remorqué;2018-04-16;25;18;0.72;81.25
lots of (coll.);des tas de;2018-04-16;26;20;0.77;80.0
to carve;tailler;2018-04-16;21;7;0.33;86.25
to skim;parcourir. feuilleter;2018-04-16;22;16;0.73;85.0
a stroke;un coup / un AVC;2018-04-16;34;20;0.59;70.0
to assuage;apaiser;2018-04-16;25;12;0.48;81.25
the hinge;la charnière;2018-04-16;22;12;0.55;85.0
a leverage;un effet de levier. une influence;2018-04-16;18;10;0.56;90.0
a great deal of;beaucoup de;2018-04-16;22;11;0.5;85.0
slanted;incliné;2018-04-16;16;1;0.06;92.5
the sloth;la paresse;2018-04-16;17;-9;-0.53;91.25
the greenhouse effect;l'effet de serre;2018-04-19;22;17;0.77;85.0
a hurdle;un écueil;2018-05-17;29;1;0.03;76.25
to chatter;jacasser;2018-05-17;22;13;0.59;85.0
in mint condition;comme neuf;2018-05-17;23;14;0.61;83.75
a spoof;une parodie;2018-05-17;19;2;0.11;88.75
We have our work cut out.;Nous avons du pain sur la planche.;2018-05-17;17;2;0.12;91.25
a nickel;une pièce de cinq cents;2018-05-17;25;15;0.6;81.25
Thanks. I'll make do.;Merci. je ferai avec.;2018-05-17;26;15;0.58;80.0
snuff (common name);du tabac à priser;2018-05-17;23;14;0.61;83.75
a gobbledegook;un charabia;2018-05-17;17;14;0.82;91.25
a telling example;un exemple évocateur;2018-05-17;26;16;0.62;80.0
Fancy that!;Vous m'en direz tant !;2018-05-17;15;13;0.87;93.75
leasing (common name);le crédit-bail;2018-05-17;23;13;0.57;83.75
glassware;la verrerie;2018-05-17;15;13;0.87;93.75
the span;l'envergure / l'empan;2018-05-17;25;14;0.56;81.25
a cup-tie;une série de match de foot;2018-05-17;14;8;0.57;95.0
Queen Elizabeth;La Reine d'Angleterre Elizabeth II;2018-05-17;18;15;0.83;90.0
a lure;un appât;2018-05-17;14;8;0.57;95.0
to peel;peler (un légume);2018-05-17;26;16;0.62;80.0
fiery;ardent. enflammé;2018-05-17;18;15;0.83;90.0
to put someone out;mettre quelqu'un mal à l'aise;2018-05-17;24;14;0.58;82.5
a crust;une croûte (de pâte);2018-05-17;19;16;0.84;88.75
The Secretary of State;le Premier Ministre américain;2018-05-17;26;17;0.65;80.0
a packaging;un emballage;2018-05-17;16;13;0.81;92.5
a mechanic;un garagiste;2018-05-17;19;9;0.47;88.75
a dish-washer;un lave-vaisselle;2018-05-17;22;16;0.73;85.0
colour-blind;daltonien;2018-05-17;22;16;0.73;85.0
highways and byways (expr.);un peu partout;2018-05-17;25;5;0.2;81.25
Tough luck!;Quelle malchance !;2018-05-17;21;10;0.48;86.25
overhead costs;les frais généraux;2018-05-17;19;10;0.53;88.75
The last frontier;La frontière de l'espace (métaphorique);2018-05-17;25;18;0.72;81.25
a slip of the tongue;un lapsus. la langue qui fourche;2018-05-17;21;11;0.52;86.25
classical;célèbre. référence / qui relève soit de l'antiquité. soit du XVIIIème siècle;2018-05-17;25;18;0.72;81.25
nonplussed;déconfit;2018-05-17;25;12;0.48;81.25
a peasant;un péquenot (péjoratif);2018-05-17;18;14;0.78;90.0
timid;craintif;2018-05-17;24;16;0.67;82.5
a chatterbox;un moulin à paroles / une personne intarissable;2018-05-17;22;17;0.77;85.0
a dime;une pièce de dix cents;2018-05-17;30;14;0.47;75.0
He has lofty ideas.;Il a des idéaux élevés.;2018-05-17;14;10;0.71;95.0
crusty;bourru. hargneux;2018-05-17;17;-9;-0.53;91.25
a parochial outlook;une attitude bornée / un esprit de clocher;2018-05-17;25;17;0.68;81.25
a beater (hunting);un rabatteur (chasse);2018-05-17;24;17;0.71;82.5
a score of men;une vingtaine d'hommes;2018-05-17;24;17;0.71;82.5
to go under the hammer;vendre aux enchères;2018-05-17;19;8;0.42;88.75
to fill in a form;remplir un formulaire;2018-05-17;16;8;0.5;92.5
He's tight.;Il est saoûl.;2018-05-17;22;11;0.5;85.0
a bear market;un marché pessimiste;2018-05-17;14;7;0.5;95.0
lousy;pouilleux / mauvais;2018-05-17;21;-8;-0.38;86.25
an auction sale;une vente aux enchères;2018-05-17;27;19;0.7;78.75
a bull market;un marché optimiste;2018-05-17;16;11;0.69;92.5
The chair's in the way.;La chaise est dans le passage.;2018-05-17;21;16;0.76;86.25
a quid;une livre £ (argot);2018-05-17;26;7;0.27;80.0
a dial;un cadran;2018-05-17;21;15;0.71;86.25
to chat;causer. bavarder;2018-05-17;23;18;0.78;83.75
He slumped in his chair.;Il s'affala dans son fauteuil.;2018-05-17;20;13;0.65;87.5
a poacher;un braconnier;2018-05-17;21;4;0.19;86.25
sheepish;penaud;2018-05-17;19;0;0.0;88.75
to search;fouiller;2018-05-17;31;23;0.74;73.75
a socialite;une personne mondaine;2018-05-17;25;20;0.8;81.25
Work that out!;Débrouille-toi !;2018-05-17;20;16;0.8;87.5
Don't argue with me!;Ne me contredisez pas !;2018-05-17;27;20;0.74;78.75
bylaws (common name);les ordonnances locales (à côté des lois principales);2018-05-17;20;11;0.55;87.5
shop-lifting;le chapardage;2018-05-17;16;10;0.63;92.5
to tighten the brakes;resserrer les freins (automobile);2018-05-17;27;20;0.74;78.75
The Royal Mint;L'Hôtel de la Monnaie;2018-05-17;15;12;0.8;93.75
stodgy;lourd. indigeste. bourratif;2018-05-17;28;9;0.32;77.5
wrapper (common name);du papier d'emballage;2018-05-17;23;18;0.78;83.75
a farmer;un paysan;2018-05-17;19;12;0.63;88.75
Don't get so upset!;Ne te fâche pas !;2018-05-17;19;12;0.63;88.75
to point out;signaler;2018-05-17;19;14;0.74;88.75
He's tight with money.;Il est radin.;2018-05-17;24;13;0.54;82.5
leatherware;la maroquinerie;2018-05-17;30;22;0.73;75.0
a tip;un conseil. un tuyau / un pourboire;2018-05-17;34;18;0.53;70.0
the M.O.T.;Ministry of Transport (contrôle automobile annuel);2018-05-17;25;16;0.64;81.25
overtime (common name);les heures supplémentaires;2018-05-17;19;15;0.79;88.75
a business slump;un marasme économique;2018-05-17;22;14;0.64;85.0
to be in good shape;être en bonne forme;2018-05-17;24;18;0.75;82.5
The Queen Elizabeth;"Le paquebot ""Queen Elizabeth""";2018-05-17;22;14;0.64;85.0
a culture vulture;une personne avide de culture;2018-05-17;20;14;0.7;87.5
to show around;faire visiter;2018-05-17;26;14;0.54;80.0
pointedly;de façon insistante. d'une manière significative;2018-05-27;19;0;0.0;88.75
a scammer;un escroc;2018-05-27;26;18;0.69;80.0
a flea market;un marché aux puces;2018-05-27;24;16;0.67;82.5
a prey;une proie;2018-05-27;27;21;0.78;78.75
pertaining;se rapportant;2018-05-27;20;14;0.7;87.5
attrition (common name);l'usure;2018-05-27;21;2;0.1;86.25
whims (common name);les caprices;2018-05-27;25;14;0.56;81.25
relished;ravi;2018-05-27;21;15;0.71;86.25
intermingled;entremêlé;2018-05-27;24;17;0.71;82.5
dog-eared;écorné;2018-05-27;25;17;0.68;81.25
in turn;à son tour;2018-05-27;27;16;0.59;78.75
a funnel;un entonnoir;2018-05-27;19;15;0.79;88.75
an upswing;un redressement. une amélioration;2018-05-27;18;5;0.28;90.0
to stumble;trébucher / broncher / tomber sur;2018-05-27;30;17;0.57;75.0
quaint (adj.);pittoresque. original;2018-05-27;28;-10;-0.36;77.5
teignant (adj.);grouillant de monde. torrentiel;2018-05-27;22;-13;-0.59;85.0
a meadow;un pré. une prairie;2018-06-27;18;4;0.22;90.0
a rake;un râteau;2018-07-09;19;12;0.63;88.75
subsequently;par la suite;2018-07-09;20;14;0.7;87.5
a first;une mention très bien;2018-07-10;17;9;0.53;91.25
a youngling;un jeune garçon;2018-07-14;20;15;0.75;87.5
whatsoever;quoi que ce soit;2018-07-14;20;10;0.5;87.5
secretive;secret;2018-07-14;22;13;0.59;85.0
a lookout;un poste d'observation. de vigie;2018-07-15;17;10;0.59;91.25
I'll see you out.;Je vous raccompagne.;2018-07-15;22;9;0.41;85.0
quite a few of;pas mal de ;2018-07-15;17;12;0.71;91.25
a trial period;une période d'essai;2018-07-15;20;15;0.75;87.5
to be on the lookout for;guetter. être à la recherche de ;2018-07-15;16;8;0.5;92.5
a chilling;un refroidissement;2018-07-17;19;13;0.68;88.75
a strain;une souche / une tension;2018-07-17;17;-1;-0.06;91.25
to reciprocate;rendre;2018-07-17;19;15;0.79;88.75
mobs (common name);la foule. la bande;2018-07-17;17;8;0.47;91.25
to hound;traquer. talonner;2018-07-17;22;11;0.5;85.0
a compulsion;le fait d'obliger quelqu'un à faire quelque chose;2018-07-17;21;11;0.52;86.25
a voucher;une pièce justificative;2018-07-17;17;11;0.65;91.25
ill-mannered;mal élevé;2018-07-17;22;16;0.73;85.0
rapturous;enthousiaste;2018-07-17;22;-7;-0.32;85.0
to dwarf;rapetisser. faire paraître petit;2018-07-17;24;15;0.63;82.5
to uphold;maintenir. défendre;2018-07-17;26;17;0.65;80.0
to walk-out / a walk-out;se promener / une grève / un retrait;2018-07-17;29;21;0.72;76.25
frantic;frénétique;2018-07-30;34;22;0.65;70.0
tongue-in-cheek;ironique;2018-07-30;17;15;0.88;91.25
to stave off;conjurer;2018-07-30;21;-4;-0.19;86.25
stunning;étourdissant;2018-07-30;21;9;0.43;86.25
a bundle;un paquet. une liasse;2018-07-30;22;15;0.68;85.0
a letter of application;une lettre de rendez-vous (confirmation d'embauche);2018-07-30;20;10;0.5;87.5
fiendish;diabolique;2018-07-30;20;2;0.1;87.5
a subsidiary;une filiale;2018-08-05;28;14;0.5;77.5
wholly-owned subsidiary;filiale dont la totalité du capital a été rachetée par la société mère;2018-08-13;30;22;0.73;75.0
a fortnight;une quinzaine de jours;2018-08-13;24;19;0.79;82.5
I'll be moving in.;Je serai en train d'emménager.;2018-08-13;28;17;0.61;77.5
generally speaking;en principe;2018-08-13;18;14;0.78;90.0
best part of forty years;presque quarante ans;2018-08-17;15;9;0.6;93.75
to be taken aback;être surpris. déconcerté. décontenancé;2018-08-17;20;14;0.7;87.5
overpowering;envahissant;2018-08-17;17;9;0.53;91.25
How are you enjoying it?;Ca te plaît ?;2018-08-17;16;13;0.81;92.5
to disrupt;perturber;2018-08-19;25;17;0.68;81.25
to stymie;mettre un obstacle;2018-08-29;23;9;0.39;83.75
to strew;semer. répandre;2018-08-29;24;4;0.17;82.5
a hindsight;la bonne connaissance d'une situation;2018-08-29;22;12;0.55;85.0
to buffet;frapper / lutter;2018-08-29;21;2;0.1;86.25
a loophole;une lacune. un point faible / une échappatoire;2018-08-29;17;7;0.41;91.25
foursquare (adj.);d'apparence solide;2018-08-29;23;13;0.57;83.75
out of the blue;tout à coup;2018-08-29;20;4;0.2;87.5
exerted;exercé. déployé;2018-08-29;25;12;0.48;81.25
scathing (adj.);cinglant. acerbe;2018-08-29;21;2;0.1;86.25
a crunch;un bruit d'écrasement;2018-08-29;13;7;0.54;96.25
crisply (adj.);croustillant;2018-08-29;26;7;0.27;80.0
a gaol;une prison. une geôle;2018-08-29;22;14;0.64;85.0
undisguisedly;indistinctement;2018-08-29;23;14;0.61;83.75
lengthy;long. interminable;2018-08-29;27;19;0.7;78.75
a soulmate;une âme sur;2018-08-29;20;13;0.65;87.5
a fledgling;un débutant / un oisillon;2018-08-29;18;12;0.67;90.0
to uphold;défendre. maintenir;2018-08-29;23;16;0.7;83.75
artful;astucieux;2018-08-29;16;11;0.69;92.5
to quibble;ergoter. chicaner;2018-08-29;20;-8;-0.4;87.5
bankable;fiable. sûr de rapporter du succès dans les affaires;2018-08-29;23;15;0.65;83.75
lagging (adv. / adj.);en retard / isolant;2018-08-29;31;21;0.68;73.75
to squirm;se tortiller;2018-08-29;26;16;0.62;80.0
a reprieve;un sursis. un répit;2018-08-29;13;-10;-0.77;96.25
in dissent;en désaccord;2018-08-29;27;21;0.78;78.75
to stitch up;recoudre / mettre quelqu'un en porte-à-faux;2018-08-29;24;18;0.75;82.5
on the whole;dans l'ensemble;2018-08-29;25;19;0.76;81.25
to defuse;désamorcer;2018-08-29;24;18;0.75;82.5
to cave in;s'effondrer. faire chuter;2018-08-29;13;-11;-0.85;96.25
to rig // a rig (IT);gréer / truquer. manipuler // une plate-forme;2018-08-29;20;-1;-0.05;87.5
a muddle;une confusion;2018-08-29;22;-1;-0.05;85.0
a loom;un métier à tisser;2018-08-29;22;-1;-0.05;85.0
jettisoned;largué. abandonné. délesté;2018-08-29;14;0;0.0;95.0
to reap;recueillir. moissonner;2018-08-29;36;24;0.67;67.5
a lifeline;une ligne de vie;2018-08-29;18;12;0.67;90.0
by and large;dans l'ensemble / en tout cas. de toute façon;2018-08-29;18;15;0.83;90.0
galore (adv.);en abondance;2018-08-29;32;19;0.59;72.5
to suffuse;se répander sur. colorer. pigmenter;2018-08-29;21;14;0.67;86.25
to sedate;mettre sous sédatif;2018-08-29;18;1;0.06;90.0
loose;en vrac / relâché;2018-08-29;22;16;0.73;85.0
picketing (common name);des piquets de grève;2018-08-29;21;16;0.76;86.25
an alienation;un éloignement. un isolement. un détachement;2018-08-29;29;17;0.59;76.25
to trample;bafouer. fouler aux pied;2018-08-29;19;-13;-0.68;88.75
arm twisting;une clé de bras / le forceps (figuré);2018-08-29;26;20;0.77;80.0
appalled;consterné. épouvanté. scandalisé;2018-08-29;17;11;0.65;91.25
a squall;une bourrasque. une rafale;2018-08-29;21;-11;-0.52;86.25
nostrum (common name);la panacée;2018-08-29;26;20;0.77;80.0
hustings (common name);une campagne électorale;2018-08-29;26;19;0.73;80.0
rubicond;rouge (particulièrement du visage d'une personne);2018-08-29;24;17;0.71;82.5
an exculpation;une disculpation;2018-08-29;17;12;0.71;91.25
creed (common name);des principes. un credo;2018-08-29;18;13;0.72;90.0
a mischief;une malice. une espièglerie / un tort;2018-08-29;26;-17;-0.65;80.0
a helmsman;un timonier. un homme de barre;2018-08-29;22;14;0.64;85.0
a retort;une réplique. une riposte;2018-09-12;25;19;0.76;81.25
to err;se tromper / pécher;2018-09-12;34;23;0.68;70.0
petty;petit. insignifiant. simple;2018-09-12;15;10;0.67;93.75
to flout;mépriser;2018-09-12;20;-15;-0.75;87.5
to purport;se prétendre. se faire passer pour;2018-09-18;25;14;0.56;81.25
the backbench;In the UK: the benches behind the front benches on either side of the House of Commons. occupied by Members of Parliament who do not hold office in the government or the opposition;2018-09-24;25;19;0.76;81.25
a bust;une poitrine / une faillite. un fiasco;2018-09-25;20;4;0.2;87.5
open-ended;qui n'a pas de limite clairement déterminée;2018-09-25;31;20;0.65;73.75
a subsidy;une subvention;2018-09-25;23;18;0.78;83.75
a muster;un rassemblement. une réunion;2018-09-27;22;17;0.77;85.0
to scrimp;se serrer la ceinture. être chiche;2018-09-27;18;-15;-0.83;90.0
the bedrock;la base. le soubassement. la fondation;2018-09-27;22;14;0.64;85.0
sternly;sévèrement;2018-09-27;19;1;0.05;88.75
to bludgeon;matraquer;2018-09-27;22;9;0.41;85.0
to rattle;ébranler. déstabiliser / agiter / crépiter;2018-09-27;19;12;0.63;88.75
a fillip;un coup de fouet. une pichenette. un coup sur la main;2018-09-27;18;13;0.72;90.0
a hunch;un pressentiment;2018-09-29;24;14;0.58;82.5
by no means;en aucun cas. loin de;2018-09-30;18;10;0.56;90.0
uncanny;étrange;2018-09-30;27;-10;-0.37;78.75
to disgruntle;contrarier. décevoir;2018-10-03;28;21;0.75;77.5
an inkling;une idée. un soupçon;2018-10-03;17;0;0.0;91.25
merriment (common name);la gaieté;2018-10-04;22;9;0.41;85.0
wryly;ironiquement;2018-10-04;19;-5;-0.26;88.75
plainly;clairement. simplement;2018-10-04;22;3;0.14;85.0
pithy (adj.);concis / vigoureux;2018-10-04;27;-2;-0.07;78.75
tinned;en conserve;2018-10-04;22;12;0.55;85.0
shaky;précaire. instable;2018-10-04;19;12;0.63;88.75
enticing;séduisant. alléchant. attrayant;2018-10-04;17;13;0.76;91.25
inducement (common name);l'incitation. l'encouragement;2018-10-04;22;0;0.0;85.0
a bulwark;un rempart. des fortifications;2018-10-05;25;16;0.64;81.25
to sour;s'aigrir;2018-10-09;18;-3;-0.17;90.0
a glower;un regard noir;2018-10-09;19;11;0.58;88.75
a shirker;un tir-au-flanc;2018-10-09;22;6;0.27;85.0
claret (common name);du (vin de) bordeaux;2018-10-09;19;14;0.74;88.75
boisterous;bruyant. tapageur. tumultueux;2018-10-10;17;0;0.0;91.25
the brawn;la force des muscles;2018-10-10;21;12;0.57;86.25
a foray;une incursion. une razzia;2018-10-10;23;16;0.7;83.75
avowedly;de son propre aveu;2018-10-10;26;2;0.08;80.0
a truce;une trêve;2018-10-10;20;6;0.3;87.5
barbed;barbelé. acéré;2018-10-10;21;13;0.62;86.25
squalid (adj.);sordide. misérable;2018-10-17;19;8;0.42;88.75
carpentry (common name);la charpenterie;2018-10-17;17;11;0.65;91.25
ruffled;ébouriffé. froissé / troublé;2018-10-17;29;19;0.66;76.25
stranded;échoué / coincé;2018-10-17;28;17;0.61;77.5
a din;un vacarme;2018-10-17;16;-14;-0.88;92.5
to epitomise;incarner. résumer;2018-10-17;32;23;0.72;72.5
to parse;analyser;2018-10-21;19;11;0.58;88.75
avuncular;relatif à un oncle;2018-10-24;22;16;0.73;85.0
